no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277960634,872,9788965483717 ,미카엘라 :달빛 드레스 도난 사건,박에스더 글 ;이경희 그림,"제1회 No. 1 마시멜로 픽션 대상 수상작. 200년 전통의 ‘브링턴 아카데미’ 기숙 학교를 배경으로, 전설의 보물을 찾아 ‘두꺼비잡기 대회’에 참가한 7학년생 미카엘라의 미션 레이스를 그린 작품이다. 보물을 차지하기 위한 미카엘라의 이야기가 박진감 넘치게 펼쳐진다.",고릴라박스,2017,http://image.aladin.co.kr/product/10951/56/cover/8965483719_1.jpg,426,3,아동
277969230,382,9791188522743 ,리더라면 정조처럼 :정조대왕의 숨겨진 리더십 코드 5049,김준혁 지음,"결코 순탄하지 않았던 정조의 재위 시절, 그럼에도 정조는 숱한 난관을 이겨내고 우리나라 역사상 최고의 개혁군주로 평가받는다. 저성장과 실업, 전염병과 전쟁의 위험 속에 노출된 우리에게 지금 필요한 것은 무얼까?",더봄,2020,https://image.aladin.co.kr/product/24319/74/cover/k252630694_1.jpg,421,3,학문
277970420,605,9788960906600 ,실패를 사랑하는 직업 :요조 산문,지은이: 요조,"뮤지션이자 작가, 제주의 동네 서점 '책방무사'의 대표인 요조의 산문집. 요조의 음악과 일상, 다방면의 예술가들, 인간관계, 달리기, 채식, 책방 운영에 이르기까지, 요조의 내면을 만들어온 다종다양한 이야기가 담겨 있는 산문집이다.",마음산책,2021,https://image.aladin.co.kr/product/26212/83/cover/8960906603_2.jpg,394,3,문학
277952919,184,9788994706832 ,느낌표 물고기,"장진화 (지은이), 강은지 (그림)","경남아동문학상을 수상하며 주목을 받은 장진화 시인의 동시집이다. 시인은 밝고 유쾌한 어린이들의 시선은 물론 아픔과 슬픔까지 함께 동시에 담아냈다. 일상의 언저리에서 만나는 동물과 식물, 사람과 사물들을 바라보는 어린이의 시선이 돋보이는 작품들이 가득하다.",소야,2020,https://image.aladin.co.kr/product/25793/45/cover/8994706836_1.jpg,390,3,아동
277970422,605,9788960906747 ,혼자여서 좋은 직업 - 두 언어로 살아가는 번역가의 삶,권남희 (지은이),일본 문학 독자 중 모르는 사람이 없는 이름. “소설을 읽으려다 역자 후기에 빠지게 된다”는 독자들의 후기로 유명한 30년 차 번역가 권남희의 산문집이 출간됐다. 프리랜서 번역가의 삶이 담긴 『혼자여서 좋은 직업』. 믿고 읽는 번역가를 넘어 믿고 읽는 에세이 작가가 된 권남희의 유쾌하면서 따스한 삶의 이야기가 펼쳐진다.,마음산책,2021,https://image.aladin.co.kr/product/27052/98/cover/8960906743_1.jpg,346,4,문학
277951124,365,9788936446826 ,"좋은 돈, 나쁜 돈, 이상한 돈 :두통 씨의 경제 이야기",권재원 지음,사회와 친해지는 책 시리즈의 '경제' 편. 제19회 창비 ‘좋은 어린이책’ 기획 부문 대상 수상작. 어린이가 공감할 만한 캐릭터인 재원이가 두통 씨와 나누는 흥미진진한 대화를 통해 돈의 본질에 대해 생각하도록 이끈다.,창비,2015,http://image.aladin.co.kr/product/6595/52/cover/8936446827_1.jpg,335,4,아동
277963509,707,9788927806639 ,피부에 헛돈 쓰지 마라 :합리적인 의사 함익병의 경제적인 피부 멘토링,"함익병,옥지윤 지음",정보 과잉 시대에 대응하는 ‘정확한 몇 가지’ 피부 정보만을 읽기 쉬운 글로 담아냈다. 술술 읽다보면 그동안 우리가 정설이라고 믿고 있던 피부 정보들이 대부분 오류투성이라는 것을 깨닫게 된다. 또한 읽는 즉시 생각이 움직이고 행동이 바뀌게 되는 놀라운 경험을 하게 될 것이다.,중앙books(중앙북스),2015,http://image.aladin.co.kr/product/6229/51/cover/8927806638_1.jpg,283,4,취미
277963065,368,9788901148007 ,스마트한 생각들 :사람의 마음을 움직이는 52가지 심리 법칙,롤프 도벨리 지음 ;두행숙 옮김,"직장, 학교, 집, 인터넷 공간 등 일상 곳곳에서 사람들이 무의식적으로 저지르는 생각의 오류들을 집대성하고 생생한 사례를 바탕으로 흥미롭게 설명하면서, 이를 통해 인생의 결정적 순간에 어리석은 선택을 하지 않도록 돕는 생각의 기술을 알려준다. 독일과 스위스 언론의 극찬 속에 출간하자마자 아마존 종합 베스트셀러에 올랐고 6개월 만에 30만 부 돌파, 슈피겔 12주 연속 논픽션 1위 등 현재까지 독일 독자들의 폭발적인 관심을 받고 있다.",웅진씽크빅,2012,http://image.aladin.co.kr/product/1788/72/cover/8901148005_1.jpg,203,4,교육
277971177,340,9791166830303 ,가지 말라는데 가고 싶은 길이 있다 - 나태주 스페셜 에디션,나태주 (지은이),"나태주 시인의 스페셜 에디션 시집. 나태주가 직접 고른 시들로 엮어졌다. 시를 읽다 보면 시상의 내부 깊은 곳, 웅숭깊은 사유에 고인 맑디맑은 정수와 그 안에 열리는 풀꽃 같은 순수 무구한 시 세계를 만날 수 있다.",&(앤드),2021,https://image.aladin.co.kr/product/26800/25/cover/k612730682_2.jpg,198,4,문학
277966048,331,9791160023152 ,(주린이도 술술 읽는) 친절한 주식책 :주식 왕초보가 꼭 알아야 할 기본,"최정희,이슬기 지음",주식을 막 시작해서 모든 것이 막막한 사람들에게 든든한 길라잡이 역할을 한다. 주식이 여전히 어려운 주린이들이 투자에 본격적으로 나서기 전에 꼭 알아야 할 최소한의 필수 지식을 엄선해 술술 풀어냈다.,원앤원콘텐츠그룹,2020,https://image.aladin.co.kr/product/24929/72/cover/k912632497_1.jpg,194,4,학문
277970269,459,9791187886563 ,허쉬,"존 하트 (지은이), 권도희 (옮긴이)",에드거 상 최초의 2년 연속 수상 작가 존 하트의 걸작 『라스트 차일드』의 10년 후를 다룬 시퀄이다. 실종된 이란성쌍둥이 여동생 앨리사를 찾아 냉혹하고 부조리한 세상과 인간들 사이를 묵묵히 헤맸던 열세 살 소년 조니 메리멈은 스물세 살 청년이 되었다.,구픽,2021,https://image.aladin.co.kr/product/26821/97/cover/k502730293_1.jpg,175,4,문학
277969437,569,9788960863149 ,1만권 독서법 :인생은 책을 얼마나 읽었느냐에 따라 달라진다,인나미 아쓰시 지음 ;장은주 옮김,한 페이지를 읽는 데 5분이나 걸렸던 저자가 매일 한 권씩의 서평을 써야 하는 저널리스트가 되면서 터득한 연간 700권 독파 기술을 안내한다. 방대한 분량의 텍스트 사이에서 필요한 정보만을 기억하는 요령이 담겨 있다.,위즈덤하우스,2017,http://image.aladin.co.kr/product/10107/40/cover/8960863149_1.jpg,151,4,교육
277969310,569,9788934990628 ,티핑 포인트 :작은 아이디어는 어떻게 빅트렌드가 되는가,지은이: 말콤 글래드웰 ;옮긴이: 김규태,"과거의 특정 공간이 아니라 ‘지금, 여기’ 우리를 둘러싼 온갖 사회적 유행에 대한 흥미로운 보고서이자, 긍정적인 변화를 의도적으로 일으키려고 할 때 무엇이 필요한지 알려주는 실용서이다. 2020 최신판에는 첫 출간 후 독자의 반응과 작가의 소회가 담긴 “후기”가 추가 수록되었다.",김영사,2020,https://image.aladin.co.kr/product/25011/99/cover/8934990627_1.jpg,148,4,학문
277961021,192,9788954415491 ,(피보나치가 들려주는) 피보나치수열 이야기,지은이: 오혜정 ;그림: 유대수,"조화롭고 균형감 있는 예술 작품들이나 역동적인 음색의 음악, 고대의 건축물, 생활 디자인이 나타내는 독특하고 간결한 아름다움이 매우 단순한 피보나치수열의 비율을 적용한 결과라는 사실을 통해 수학의 실용적인 가치를 충분히 인식하도록 한다. 또 각 수업마다 중요한 수학 용어를 따로 정리해 두어 학생들의 개념이해를 돕는다.",자음과모음,2008,http://image.aladin.co.kr/product/170/63/cover/8954415490_1.jpg,97,4,아동
277948218,314,9791158512002 ,"서른여섯, 은퇴하기 좋은 나이 :경제적 자유를 꿈꾸는 밀레니얼 세대를 위한 부의 절대 공식",여신욱 지음,"저자가 조기 은퇴라는 자유인의 삶을 성취하기 위해 재테크 공부를 하며 얻은 투자 인사이트와 기본 지식, 그 과정에서 수반되어야 하는 총체적인 라이프스타일 혁명에 대한 실질적인 가이드를 담고 있다.",Tornado(토네이도),2020,https://image.aladin.co.kr/product/25791/19/cover/k752736819_1.jpg,-591,6,학문
277970543,842,9788901242644 ,보이지 않는 여자들 :편향된 데이터는 어떻게 세계의 절반을 지우는가,캐럴라인 크리아도 페레스 지음 ;황가한 옮김,"남성을 위해, 남성에 의해 설계된 이 세계가 어떻게 인구의 반, 여성을 배제하는지 증명한 책이다. 영국에서 가장 주목받는 여성 운동가이자 저널리스트인 저자는 기술과 노동, 의료, 도시계획, 경제, 정치, 재난 상황 등 16가지 영역에 걸쳐 데이터 공백이 여성의 삶에 미치는 영향과 차별의 단면을 면밀하게 보여준다.",웅진씽크빅,2020,https://image.aladin.co.kr/product/24425/85/cover/8901242648_1.jpg,-589,6,학문
