no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277945449,564,9780500292341 ,Hockney's Portraits and People (Paperback),"Marco Livingstone, Kay Heymer (지은이)","“FACES ARE THE MOST INTERESTING THINGS WE SEE; OTHER PEOPLE FASCINATE ME, AND THE MOST INTERESTING ASPECT OF OTHER PEOPLE-THE POINT WHERE WE GO INSIDE THEM-IS THE FACE. IT TELLS ALL.” ―DAVID HOCKNEYEVER SINCE HE MADE HIS FIRST PORTRAITS AND SELF-PORTRAITS AT THE AGE OF...",Thames & Hudson Ltd,2016,https://image.aladin.co.kr/product/7131/64/cover/0500292345_2.jpg,0,4,취미
277945446,564,9780449817902 ,"Magic Tricks from the Tree House: A Fun Companion to Magic Tree House #50: Hurry Up, Houdini! (Paperback)","메리 폽 어즈번, 나탈리 폽 보이스, Murdocca, (지은이)","IT'S A BOOK OF MAGIC TRICKS PERFECT FOR CHAPTER BOOK READERS! WHEN JACK AND ANNIE WENT BACK IN TIME TO MEET HOUDINI, THEY LEARNED THAT THE MOST FAMOUS MAGICIAN OF ALL TIME DIDN'T USE REAL MAGIC AT ALL. IT WAS A TRICK! NOW THEY'VE TRACKED DOWN ALL THE BEST, MOST FUN, MOST...",Random House Childrens Books,2013,http://image.aladin.co.kr/product/2107/84/cover/0449817903_1.jpg,0,4,아동
277945445,564,9780448445656 ,Eric Carle's Opposites,[Eric Carle],"WHAT'S THE OPPOSITE OF ORDINARY? ERIC CARLE'S OPPOSITES! UNFOLD THE FULL PAGE FLAPS TO EXPLORE OPPOSITES WITH THE ART OF ERIC CARLE. SHORT AND TALL, BIG AND LITTLE, OVER AND UNDER!",Penguin Young Readers Group,c2007,http://image.aladin.co.kr/product/92/13/cover/0448445654_1.jpg,0,4,아동
277945441,564,9780440420620 ,OLIVIA SHARP (THE SLY SPY),Marjorie Weinman Sharmat|Mitchell Sharmat,"“I, Nate the Great, have something to say. My cousin Olivia Sharp is almost (but not quite) the world’s best detective. I solve mysteries. She’s an agent for secrets. You won’t forget Olivia. She won’t let you.”Olivia sharp is bac! Rather than solve...",Yearling,2006,https://bookthumb-phinf.pstatic.net/cover/016/669/01666992.jpg?type=m1&udate=20150114,0,4,청소년
277945438,564,9780440418214 ,Nate the Great San Francisco detective,"by Marjorie Weinman Sharmat,in the style of Marc Simont","Nate, the great detective, and his dog, Sludge, are off to San Francisco! They're going to visit Nate's cousin Olivia Sharp. She's a detective, too, and a very busy one.Olivia isn't around to solve her case number 22. Her client, Duncan, has lost his joke book. He tells Nate that if the book...",Yearling,"2005, c200",http://image.aladin.co.kr/product/95/81/cover/0440418216_2.jpg,0,4,아동
277945439,564,9780440420590 ,OLIVIA SHARP (THE PIZZA MONSTER),Marjorie Weinman Sharmat|Mitchell Sharmat,"“I, Nate the Great, have something to say. My cousin Olivia Sharp is almost (but not quite) the world’s best detective. I solve mysteries. She’s an agent for secrets. You won’t forget Olivia. She won’t let you.”Olivia sharp is bac! Rather than solve...",Yearling,2006,https://bookthumb-phinf.pstatic.net/cover/016/669/01666990.jpg?type=m1&udate=20151030,0,4,청소년
277945435,564,9780439841160 ,(The) search for sunken treasure,"Geronimo Stilton ;English translation, Edizioni Piemme S.p.A.]","HOLEY CHEESE, WHAT AN ADVENTURE! I WAS OFF TO THE RATLAPAGOS ISLANDS WITH MY FAMILY IN SEARCH OF A LONG-LOST BURIED TREASURE. BUT OH, HOW I HATE TRAVELING! BEING ON A SHIP IN THE MIDDLE OF THE SEA WASN'T MY IDEA OF A FABUMOUSE TIME. AND I WAS BEGINNING TO SUSPECT THAT WE...",Scholastic,c2006,http://image.aladin.co.kr/product/65/94/cover/043984116x_2.jpg,0,4,아동
277945432,564,9780439559652 ,Cat and mouse in a haunted house,Geronimo Stilton,"상세이미지Who Is Geronimo Stilton?That's me! I run a newspaper, but my true passion is writing tales of adventure. Here on Mouse Island, my books are all best-sellers! What's that? You've never read one? Well, my books are full of fun. They are whisker-licking good...",Scholastic,2004,http://image.aladin.co.kr/product/47/36/cover/0439559650_2.jpg,0,4,아동
277945433,564,9780439691383 ,David smells!,David Shannon,"Hey! What's that smell?! Join David as he discovers the five senses: touch, hear, see, smell, and taste. From petting the dog to banging on a drum, David knows how to have a good time. But he also knows that there's nothing better than playing a game with Mama at the end of...",Blue Sky Press,c2005,http://image.aladin.co.kr/product/89/6/cover/0439691389_2.jpg,0,4,아동
277945428,564,9780399256172 ,Frog and Fly (Six Slurpy Stories),MacK|Jeff,"Six slurpy stories, two comical combatants, and one laugh-out-loud picture book Frog and Fly are constant companions. There is only one problem . . . Frog thinks Fly is delicious! This leads to a never-ending battle of wits with laugh-out- loud consequences. Told in...",PhilomelBooks,2012,https://bookthumb-phinf.pstatic.net/cover/073/709/07370936.jpg?type=m1&udate=20180117,0,4,아동
277945427,564,9780399232466 ,26 Fairmount avenue,written and illustrated by Tomie dePaola,A CHARMING MEMOIR OF HIS CHILDHOOD BY THE FAMOUS CHILDREN'S WRITER.,G.P. Putnam's Sons,c1999,http://image.aladin.co.kr/product/119/25/cover/039923246x_1.jpg,0,4,아동
277945422,564,9780395861622 ,Snowflake Bentley,Jacqueline Briggs Martin;illustrated by Mary Azarian,"FROM THE TIME HE WAS A SMALL BOY, WILSON BENTLEY SAW SNOWFLAKES AS SMALL MIRACLES. AND HE DETERMINED THAT ONE DAY HIS CAMERA WOULD CAPTURE FOR OTHERS THE WONDER OF THE TINY CRYSTAL. BENTLEY'S ENTHUSIASM FOR PHOTOGRAPHING SNOWFLAKES WAS OFTEN MISUNDERSTOOD IN HIS TIME, BUT...",Houghton Mifflin Co.,1998,http://image.aladin.co.kr/product/107/95/cover/0395861624_2.jpg,0,4,아동
